INDEX_STORE,CUSTOMER,STORE_ID_CUST,STORE_NAME_CUST,CUSTOMER_NAME,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION,CHANNEL,Latitude,Longitude,STORE_SIZE,HUB_STORE,TOP_STORE,STORE_RANK,REMARK
MK-43,MK,43,บมจ.ซีพี แอ็กซ์ตร้า สาขาชุมพร,Makro,S00824,MK-CHUMPHON,CHUMPHON,STORE,SOUTH,MDT,10.504568,99.133725,,,N/A,,
MK-115,MK,115,บมจ.ซีพี แอ็กซ์ตร้า สาขาบางบัวทอง,Makro,S00841,MK:BANGBUATHONG-NONTHABURI,NONTHABURI,STORE,BKK CENTRAL,MDT,13.925761,100.408637,ECO+B,,N/A,,
MK-111,MK,111,บมจ.ซีพี แอ็กซ์ตร้า สาขาเพชรเกษม,Makro,S00847,MK:PETCHKASEM,BANGKOK,STORE,BKK CENTRAL,MDT,13.843533,100.010364,,,N/A,,
MK-108,MK,108,บมจ.ซีพี แอ็กซ์ตร้า สาขาหนองจอก,Makro,S00851,MK:NONGJOK,BANGKOK,STORE,BKK CENTRAL,MDT,13.856746,100.8551,,,N/A,,
MK-163,MK,163,บมจ.ซีพี แอ็กซ์ตร้า สาขาสงขลา,Makro,S00863,MK-SONGKHLA,SONGKHLA,STORE,SOUTH,MDT,6.990783,100.48865,,,N/A,,
MK-132,MK,132,บมจ.ซีพี แอ็กซ์ตร้า สาขาสัตหีบ,Makro,S00874,MK-SATTAHIP-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,12.638,100.871,,,N/A,,
MK-31,MK,31,บมจ.ซีพี แอ็กซ์ตร้า สาขาเกาะสมุย,Makro,S01105,MK-SAMUI-SURATTHANI,SURATTHANI,STORE,SOUTH,MDT,9.539036,100.041307,FOOD SERVICE C,,N/A,,
MK-168,MK,168,บมจ.ซีพี แอ็กซ์ตร้า สาขาบ้านบึง (ชลบุรี),Makro,S01186,MK-BANBUENG-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,13.080222,100.920004,,,N/A,,
MK-109,MK,109,บมจ.ซีพี แอ็กซ์ตร้า สาขาแหลมฉบัง,Makro,S01194,MK-LAMCHABANG-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,13.080222,100.920004,,,N/A,,
MK-166,MK,166,บมจ.ซีพี แอ็กซ์ตร้า สาขาราไวย์ 2,Makro,S01212,MK-RAWAI_2-PHUKET,PHUKET,STORE,SOUTH,MDT,7.8922775,98.3698027,,,N/A,,
MK-169,MK,169,บมจ.ซีพี แอ็กซ์ตร้า สาขาพังงา,Makro,S01265,MK-PHANGNGA,PHANGNGA,STORE,SOUTH,MDT,,,,,N/A,,
MK-122,MK,122,บมจ.ซีพี แอ็กซ์ตร้า สาขาประชาอุทิศ,Makro,S01438,MK:PRACHAUTHIT,BANGKOK,STORE,BKK CENTRAL,MDT,,,FOOD SERVICE C,,N/A,,
MK-170,MK,170,บมจ.ซีพี แอ็กซ์ตร้า สาขาอำนาจเจริญ,Makro,S01439,MK-AMNATCHAROEN,AMNATCHAROEN,STORE,NORTHEAST,MDT,,,,,N/A,,
MK-125,MK,125,บมจ.ซีพี แอ็กซ์ตร้า สาขาชะอำ,Makro,S01440,MK-CHAAM-PHETCHABURI,PHETCHABURI,STORE,WEST&EAST,MDT,,,,,N/A,,
MK-855,MK,855,บมจ.ซีพี แอ็กซ์ตร้า คลังสินค้าอาหารแห้ง วังน้อย2,Makro,TMK-855,MK.DC-855-WANGNOI_2,AYUTTHAYA,DC,WEST&EAST,MDT,13.7236481,100.5699473,,,N/A,,
MK-134,MK,134,บมจ.ซีพี แอ็กซ์ตร้า สาขาอมตะนคร,Makro,S01684,MK-AMATANAKHON-CHONBURI,CHONBURI,STORE,WEST&EAST,MDT,,,,,N/A,,
MK-142,MK,142,บมจ.ซีพี แอ็กซ์ตร้า สาขาแพรกษา,Makro,S01686,MK:PREAKASA-SAUTPRAKAN,SAMUTPRAKAN,STORE,BKK CENTRAL,MDT,,,,,N/A,,
MK-78,MK,78,บมจ.ซีพี แอ็กซ์ตร้า สาขากัลปพฤกษ์,Makro,S01706,MK:KANLAPAPHRUEK,BANGKOK,STORE,BKK CENTRAL,MDT,,,,,N/A,,
MK-117,MK,117,บมจ.ซีพี แอ็กซ์ตร้า สาขาอุดมสุข,Makro,S01707,MK:UDOMSUK,BANGKOK,STORE,BKK CENTRAL,MDT,,,,,N/A,,
MK-171,MK,171,บมจ.ซีพี แอ็กซ์ตร้า สาขาจอหอ (นครราชสีมา),Makro,S01708,MK-JORHOR-NAKHONRATCHASIMA,NAKHONRATCHASIMA,STORE,NORTHEAST,MDT,,,,,N/A,,
MK-64,MK,64,บมจ.ซีพี แอ็กซ์ตร้า สาขาเกาะพะงัน,Makro,S01710,MK-KOH_PHANGAN-SURATTHANI,SURATTHANI,STORE,SOUTH,MDT,,,,,N/A,,
MK-136,MK,136,บมจ.ซีพี แอ็กซ์ตร้า สาขาขอนแก่น2,Makro,S01945,MK-KHONKAEN_2,KHONKAEN,STORE,NORTHEAST,MDT,,,,,N/A,,
MK-133,MK,133,บมจ.ซีพี แอ็กซ์ตร้า สาขารามคำแหง24,Makro,S02236,MK:RAMKAMHANG_24,BANGKOK,STORE,BKK CENTRAL,MDT,,,,,N/A,,
MK-172,MK,172,บมจ.ซีพี แอ็กซ์ตร้า สาขาบ้านไผ่,Makro,S02245,MK-BANPHAI-KHONKAEN,KHONKAEN,STORE,NORTHEAST,MDT,,,,,N/A,,
MK-77,MK,77,บมจ.ซีพี แอ็กซ์ตร้า สาขาละไม,Makro,S02252,MK-LAMAI-SURATTHANI,SURATTHANI,STORE_SMALL,SOUTH,MDT,,,,,N/A,,
MK-860,MK,860,บริษัท ซีพี แอ็กซ์ตร้า คลังสินค้าซีดีซี วังน้อย,Makro,TMK-860,MK.DC-860-WANGNOI,AYUTTHAYA,DC,WEST&EAST,MDT,,,,,N/A,,
MK-882,MK,882,บมจ.ซีพี แอ็กซ์ตร้า คลังสินค้าอาหารแห้ง บางนา,Makro,TMK-882,MK.DC-882_BANGNA,BANGKOK,DC,BKK CENTRAL,MDT,,,,,N/A,,
MK-864,MK,864,บมจ.ซีพี แอ็กซ์ตร้า คลังสินค้าอาหารแห้ง HDC,Makro,TMK-864,MK.DC-864_HDC,BANGKOK,DC,BKK CENTRAL,MDT,,,,,N/A,,
MK-175,MK,175,บมจ.ซีพี แอ็กซ์ตร้า สาขาแฮปปี้แทท (ฟอเรสเทียส์ - บางนา),Makro,S02358,MK-HAPPITAT-SAMUTPRAKAN,SAMUTPRAKAN,STORE,BKK CENTRAL,MDT,,,,,N/A,,
