INDEX_MODEL,CUSTOMER,SKU_NO,BARCODE,SKU_NAME,MODEL,SKU_TYPE,USE_SELLOUT,USE_STOCK,CHK_CAT,CHK_SUB_CAT,SIZE,REMARK,REMARK
MK-861646-8855671019279,MK,861646,8.85567E+12,#ค.ซักผ้า1ถ.8KG.HAIER#HWM80-1708T,HWM80-1708T,SELLABLE,,,WM,Top Load,8.0KG,,
MK-927740-8855671028905,MK,927740,8.85567E+12,HAIER ค.ซัก2ถัง10KG#HWM-T100-OXI,HWM-T100 OXI,SELLABLE,,,WM,Twin Tub,10.0KG,,
MK-841675-,MK,841675,,#ค.ซักผ้า2ถ.13KG HAIER#HWM-T130N,HWM-T130N,SELLABLE,,,WM,Twin Tub,13.0KG,,
MK-841676-,MK,841676,,#ค.ซักผ้า2ถ.15KG.HAIER#HWM-T150N,HWM-T150N,SELLABLE,,,WM,Twin Tub,15.0KG,,
MK-869236-8855671022484,MK,869236,8.85567E+12,ค.ซักผ้า2ถ. 18KG.HAIER#HWM-180N2,HWM-T180N2,SELLABLE,,,WM,Twin Tub,18.0KG,,
MK-893573-,MK,893573,,#ค.ซักผ้า2ถัง8.5KGHAIER HWM-T85N2,HWM-T85N2,SELLABLE,,,WM,Twin Tub,8.5KG,,
MK-848016-8855671019330,MK,848016,8.85567E+12,#ค.ซักผ้า2ถัง9KG#HAIER#HWM-T90,HWM-T90 OXS,SELLABLE,,,WM,Twin Tub,9.0KG,,
MK-899656-8855671018104,MK,899656,8.85567E+12,#ตชว.HAIER#JC-167/1D/6Q,JC-167,SELLABLE,,,FZ,Wine,94Bottle,,
MK-899657-8855671018111,MK,899657,8.85567E+12,#ตชว.HAIER#JC-360/1D/13Q,JC-360,SELLABLE,,,FZ,Wine,171Bottle,,
MK-863561-,MK,863561,,#ไฮเฮอร์32นิ้วLE-32K6000 ดิจิตอล,LE32K6000,SELLABLE,,,TV,FHD,"32""",,
MK-863562-,MK,863562,,#ไฮเฮอร์ 43นิ้ว LE-43K6500 HD SMT,LE43K6500A,SELLABLE,,,TV,FHD,"43""",,
MK-863584-,MK,863584,,#ไฮเฮอร์50นิ้วLE-50K8000UA UHD,LE50K8000UA,SELLABLE,,,TV,UHD,"50""",,
MK-840801-,MK,840801,,#เครื่องทำน้ำอุ่น HAIER 3500วัตต์,N/A,N/A,,,N/A,N/A,N/A,,
MK-840802-,MK,840802,,#เครื่องทำน้ำอุ่น HAIER 4500วัตต์,N/A,N/A,,,N/A,N/A,N/A,,
MK-844826-8855671026116,MK,844826,8.85567E+12,ตชยHAIER#SC-1700PCS2-LEDV4/2D/36Q,SC-1700PCS2-LEDV4,SELLABLE,,,FZ,Beverage,36Q,,
MK-844823-8855671026079,MK,844823,8.85567E+12,ตชย.HAIER#SC-240BC-V3/1D/7.6Q,SC-240BC-V3,SELLABLE,,,FZ,Beverage,7.6Q,,
MK-844827-8855671026130,MK,844827,8.85567E+12,ตชย.HAIER#SC2600PCS3-V3/3D/54.3Q,SC-2600PCS3-V3,SELLABLE,,,FZ,Beverage,55.3Q,,
MK-844824-8855671030229,MK,844824,8.85567E+12,ตชย.HAIER#SC-340BC-V4/1D/11.3Q,SC-340BC-V4,SELLABLE,,,FZ,Beverage,11.3Q,,
MK-844825-8855671026109,MK,844825,8.85567E+12,ตชย.HAIER#SC-760BC3/2D/27Q,SC-760BC3,SELLABLE,,,FZ,Beverage,27.0Q,,
MK-899000-8855671026833,MK,899000,8.85567E+12,#ตชย.HAIER#SC-763BC2/2D/27Q,SC-763BC2,SELLABLE,,,FZ,Beverage,26.8Q,,
MK-929123-8855671033442,MK,929123,8.85567E+12,ตชย.HAIER#SC-763BC3/2D/27Q,SC-763BC3,SELLABLE,,,FZ,Beverage,26.8Q,,
MK-844775-8855671011310,MK,844775,8.85567E+12,ตชข.กระจกHAIER#SD-296G/1D/8Q,SD-296G,SELLABLE,,,FZ,Glass,8.0Q,,
MK-844822-,MK,844822,,ตชข.กระจกHAIER#SD332-332D/1D/9.2Q,SD-332D,SELLABLE,,,FZ,Glass,9.2Q,,
MK-907269-8855671027311,MK,907269,8.85567E+12,ตชข.กระจกHAIER#SD332DP/1D/9.2Q,SD-332DP,SELLABLE,,,FZ,Glass,9.2Q,,
MK-848769-2500008487691,MK,848769,2.50001E+12,#ต.เย็น 2D 9.4Q HAIER #THM25N,HRF-THM25N,SELLABLE,,,RF,2Dr,9.1Q,,16.4.2026 Change from THM25N to HRF-THM25N
